n_start,pulse_width,xs,groups,initial_params,final_params,uncertainties,redchi,success
1650,610,xs0,None,"{'thickness': 1.0, 'norm': 1.0, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.0, 'bg1': 0.0, 'bg2': 0.0}","{'thickness': 1.7557801662288475, 'norm': 0.7626582669726296, 'temp': 300.0, 'p1': -3.9550473006581246, 'cellulose': np.float64(0.018797641602812408), 'α': np.float64(0.9812023583971876), 'ext_l2': 48.37503836949975, 'ext_Gg2': 588.9197168535653, 'ext_L2': 46391.68731981808, 'α0': 138.50368539440814, 'β0': 266.6788724677846, 'bg0': 390.5457903505303, 'bg1': -357.51346229214687, 'bg2': -1987.074427965912}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",13664.21660187283,True
200,620,xs0,None,"{'thickness': 1.0, 'norm': 1.0, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.0, 'bg1': 0.0, 'bg2': 0.0}","{'thickness': 2.035007924548683, 'norm': 1.0847273224006562, 'temp': 300.0, 'p1': -3.4361062271667233, 'cellulose': np.float64(0.031185913579789507), 'α': np.float64(0.9688140864202104), 'ext_l2': 0.16898246251451088, 'ext_Gg2': 0.4863499989693487, 'ext_L2': 573.7053510468381, 'α0': 1967.3058803310723, 'β0': 281.4506995621831, 'bg0': 2708.070139666903, 'bg1': -1574.0048749661073, 'bg2': -1201.3760921990033}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",3535.1187686590674,True
880,910,xs0,None,"{'thickness': 1.0, 'norm': 1.0, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.0, 'bg1': 0.0, 'bg2': 0.0}","{'thickness': 1.8621071754838043, 'norm': 0.8610128830765235, 'temp': 300.0, 'p1': -3.968370969455581, 'cellulose': np.float64(0.018553465108685593), 'α': np.float64(0.9814465348913144), 'ext_l2': 0.09403588562939547, 'ext_Gg2': 1262.4914077417359, 'ext_L2': 19025.49079608301, 'α0': 6157.239788637931, 'β0': 4.34627836262142, 'bg0': -5117.0270990284625, 'bg1': -2536.0001156707294, 'bg2': 3245.108048002934}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",7093.710079883602,True
20,670,xs0,None,"{'thickness': 1.0, 'norm': 1.0, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.0, 'bg1': 0.0, 'bg2': 0.0}","{'thickness': 1.7808580288830578, 'norm': 1.0867480993596028, 'temp': 300.0, 'p1': -1.6336397441593675, 'cellulose': np.float64(0.1633323626523563), 'α': np.float64(0.8366676373476436), 'ext_l2': 672.0622970971657, 'ext_Gg2': 94.4074579599985, 'ext_L2': 115935.79078998217, 'α0': 68.4212717549933, 'β0': 14.183482253865465, 'bg0': 1235.175159569364, 'bg1': -224.3880301360041, 'bg2': -1696.625542666996}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",1959.0103911553497,False
40,970,xs0,None,"{'thickness': 1.0, 'norm': 1.0, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.0, 'bg1': 0.0, 'bg2': 0.0}","{'thickness': 1.2076458974445747, 'norm': 0.3964045599705843, 'temp': 300.0, 'p1': -3.450662226917162, 'cellulose': np.float64(0.030749116471106834), 'α': np.float64(0.9692508835288932), 'ext_l2': 75.18064374194611, 'ext_Gg2': 1037.9853911311416, 'ext_L2': 97847.94074451891, 'α0': 12.425967880227702, 'β0': 5.468942920631616, 'bg0': 437.0629280692665, 'bg1': -338.01628924009856, 'bg2': -811.9479333983036}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",3242.273160704054,False
170,420,xs0,None,"{'thickness': 1.0, 'norm': 1.0, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.0, 'bg1': 0.0, 'bg2': 0.0}","{'thickness': 1.212300196636253, 'norm': 0.4008164324886362, 'temp': 300.0, 'p1': -3.4876583569404076, 'cellulose': np.float64(0.029665435118345625), 'α': np.float64(0.9703345648816543), 'ext_l2': 63.08205913386766, 'ext_Gg2': 1044.701634098566, 'ext_L2': 102139.74470889792, 'α0': 6.033000115806709, 'β0': 4.871440459684632, 'bg0': 402.3142593348166, 'bg1': -278.2046990726376, 'bg2': -777.5985686352942}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",4948.934999234999,False
1860,730,xs0,None,"{'thickness': 1.0, 'norm': 1.0, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.0, 'bg1': 0.0, 'bg2': 0.0}","{'thickness': 1.2231463532122735, 'norm': 0.42193088643403975, 'temp': 300.0, 'p1': -3.398482119294867, 'cellulose': np.float64(0.03234293590772878), 'α': np.float64(0.9676570640922711), 'ext_l2': 36.53049264545072, 'ext_Gg2': 887.3411666785108, 'ext_L2': 96745.89326703314, 'α0': 148.01731170421996, 'β0': 5.724984971463777, 'bg0': 676.3343270117184, 'bg1': -311.95325301762205, 'bg2': -830.168820108287}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",36869.15369820771,False
1960,540,xs0,None,"{'thickness': 1.0, 'norm': 1.0, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.0, 'bg1': 0.0, 'bg2': 0.0}","{'thickness': 2.0778639922968174, 'norm': 1.0763060991160103, 'temp': 300.0, 'p1': -3.6436393907742204, 'cellulose': np.float64(0.025490227821084576), 'α': np.float64(0.9745097721789155), 'ext_l2': 1996.330390512822, 'ext_Gg2': 5458.996050384726, 'ext_L2': 948.695730451532, 'α0': 0.8867205174377161, 'β0': 9154.411128832948, 'bg0': -1869.5251721425448, 'bg1': -276.0291425657924, 'bg2': 1617.01909129892}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",79530.84365413604,False
610,630,xs0,None,"{'thickness': 1.0, 'norm': 1.0, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.0, 'bg1': 0.0, 'bg2': 0.0}","{'thickness': 1.2657666896113717, 'norm': 0.4465653451345428, 'temp': 300.0, 'p1': -3.508519651165461, 'cellulose': np.float64(0.02907079057189877), 'α': np.float64(0.9709292094281012), 'ext_l2': 148.53709119011182, 'ext_Gg2': 852.0980700883296, 'ext_L2': 67265.8997632668, 'α0': 361.0458389157918, 'β0': 14.66983264087824, 'bg0': 552.9239492951892, 'bg1': -681.0074868137017, 'bg2': -938.2467766683549}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",8500.282269554313,False
50,200,xs0,None,"{'thickness': 1.0, 'norm': 1.0, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.0, 'bg1': 0.0, 'bg2': 0.0}","{'thickness': 1.2348803096617658, 'norm': 0.4078229772790424, 'temp': 300.0, 'p1': -3.4298533144669747, 'cellulose': np.float64(0.031375389858101004), 'α': np.float64(0.968624610141899), 'ext_l2': 4.067545909318682, 'ext_Gg2': 1035.5991691943289, 'ext_L2': 89889.80284137932, 'α0': 45.484593806133944, 'β0': 3.5943460856553417, 'bg0': 555.196455175057, 'bg1': -471.1275506586535, 'bg2': -838.8096253722906}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",505.5363592536425,False
