n_start,pulse_width,xs,groups,initial_params,final_params,uncertainties,redchi,success
430,660,xs0,groups3,"{'thickness': 2.998300723810093, 'norm': 2.1460883455833533, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 2.2834889583755285, 'bg1': -0.6709863011492416, 'bg2': -1.8836138886399567}","{'thickness': 4.017397164965369, 'norm': 3.234811151347608, 'temp': 300.0, 'p1': -3.9397028009630457, 'cellulose': np.float64(0.019082759672457417), 'α': np.float64(0.9809172403275425), 'ext_l2': 0.0, 'ext_Gg2': 9051.686082890437, 'ext_L2': 59297.85888863898, 'α0': 10.142349323264789, 'β0': 3.464808874707765, 'bg0': 2.0512373948004097, 'bg1': -0.6146017693681642, 'bg2': -1.6012608486926183}","{'thickness': 1.803342827836666, 'norm': 2.909878428563583, 'temp': 0, 'p1': 6.5510823253743125, 'cellulose': 0.12262714158370228, 'α': 0.12262714410023796, 'ext_l2': 0, 'ext_Gg2': 1814407.6976227823, 'ext_L2': 11914451.923255537, 'α0': 37.233977565510685, 'β0': 3.065516778993123, 'bg0': 2.0821452536710736, 'bg1': 0.5559369663826353, 'bg2': 1.8431921416744912}",31201.513459514164,True
1190,570,xs0,groups3,"{'thickness': 2.3260012142961797, 'norm': 1.3449444780088657, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': -3.088405355811119e-05, 'bg1': -2.736481837928295e-05, 'bg2': -1.8542981706559658e-05}","{'thickness': 2.172293275859331, 'norm': 1.2316689794441102, 'temp': 300.0, 'p1': -3.3542870250364203, 'cellulose': np.float64(0.03375506019911301), 'α': np.float64(0.9662449398008869), 'ext_l2': 0.0, 'ext_Gg2': 887.6606767106166, 'ext_L2': 88781.01013558176, 'α0': 7.7751856341917875, 'β0': 4.393113293615957, 'bg0': -3.088405355811119e-05, 'bg1': -2.736481837928295e-05, 'bg2': -1.8542981706559658e-05}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",14211.192784400675,True
550,590,xs0,groups3,"{'thickness': 3.687023197367605, 'norm': 3.2580448214091184, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': -3.151622273842804, 'bg1': 0.7923073701094836, 'bg2': 3.18668494396843}","{'thickness': 3.2720619610922603, 'norm': 6.669521206039324, 'temp': 300.0, 'p1': -13.995414046303555, 'cellulose': np.float64(8.353501308062882e-07), 'α': np.float64(0.9999991646498693), 'ext_l2': 0.0, 'ext_Gg2': 4375.08733247797, 'ext_L2': 466135.9198237418, 'α0': 0.940827246411594, 'β0': 3.5813974401509685, 'bg0': -3.9186567895812914, 'bg1': 1.150508347316645, 'bg2': 3.1867785457288846}","{'thickness': 3.1222796650691507, 'norm': 28.052184924628854, 'temp': 0, 'p1': 472712.36929395475, 'cellulose': 0.3948800088619146, 'α': 0.3948428479824214, 'ext_l2': 0, 'ext_Gg2': 16645698.442231566, 'ext_L2': 1351702331.3116455, 'α0': 2.2484434238467137, 'β0': 19.082717268022744, 'bg0': 22533360697.506348, 'bg1': 6620937223.461896, 'bg2': 2261331637.0733852}",9112373.000621576,True
1260,540,xs0,groups3,"{'thickness': 2.3329264001285086, 'norm': 1.3577114474357435, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': -0.0003088295925408602, 'bg1': -0.0008657049620524049, 'bg2': 0.0018935013795271516}","{'thickness': 2.3496418477832743, 'norm': 0.9752595291463694, 'temp': 300.0, 'p1': -5.600286053634127, 'cellulose': np.float64(0.0036831900410667522), 'α': np.float64(0.9963168099589332), 'ext_l2': 0.0, 'ext_Gg2': 1267.0625329345248, 'ext_L2': 114902.54804354589, 'α0': 1.0934872462269996, 'β0': 1.5681081876827183, 'bg0': -0.00030882772989571095, 'bg1': -0.0008657049620524049, 'bg2': 0.0018935013795271516}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",73680.14321313456,True
1670,390,xs0,groups3,"{'thickness': 3.1744996283792237, 'norm': 2.2611457374014825, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': -2.063867553253658, 'bg1': 0.5198933943174779, 'bg2': 2.0922519903397188}","{'thickness': 1.571945635242781, 'norm': 0.49210306913883317, 'temp': 300.0, 'p1': -13.83571616698452, 'cellulose': np.float64(9.799961959419684e-07), 'α': np.float64(0.999999020003804), 'ext_l2': 0.0, 'ext_Gg2': 2314.649555999523, 'ext_L2': 31084.20138412371, 'α0': 2.4891054420593104, 'β0': 7232.127290393686, 'bg0': -1.6559132367838174, 'bg1': 0.4911769446916878, 'bg2': 1.3847931381314993}","{'thickness': 0.4391587169007378, 'norm': 0.2863106485196885, 'temp': 0, 'p1': 62911.94008018772, 'cellulose': 0.061653401611325744, 'α': 0.061658497720162596, 'ext_l2': 0, 'ext_Gg2': 113205429.11838576, 'ext_L2': 1520366359.360613, 'α0': 1.1495692393335728, 'β0': 261116620.78736734, 'bg0': 0.6081569248861589, 'bg1': 0.18599696034917568, 'bg2': 0.49106717257093013}",24760.485912160788,True
1020,480,xs0,groups3,"{'thickness': 3.30515216424228, 'norm': 2.427800389793053, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': -3.258387411944568, 'bg1': 0.8413628091802821, 'bg2': 3.204801175161265}","{'thickness': 2.5168407569909395, 'norm': 1.099122375260881, 'temp': 300.0, 'p1': -6.163038336717574, 'cellulose': np.float64(0.002101420009418925), 'α': np.float64(0.9978985799905811), 'ext_l2': 0.0, 'ext_Gg2': 1140.972650875981, 'ext_L2': 63348.554951790706, 'α0': 3.732795296400251, 'β0': 3.6510483131922027, 'bg0': 0.5783954146318138, 'bg1': -0.17898239893838763, 'bg2': -0.4185348830651492}","{'thickness': 0.4319376438449048, 'norm': 0.8012920665215917, 'temp': 0, 'p1': 24.839413689998633, 'cellulose': 0.052088350983396835, 'α': 0.05208836042601662, 'ext_l2': 0, 'ext_Gg2': 167545.86519924496, 'ext_L2': 8132316.690189486, 'α0': 1.3092791907943313, 'β0': 1.0114395943097003, 'bg0': 0.06019726402355662, 'bg1': 8.823393208150628e-05, 'bg2': 0.0812136457948409}",5785.00978736983,True
1310,710,xs0,groups3,"{'thickness': 2.4188593130179723, 'norm': 1.469110589820801, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': -0.0003308214945718646, 'bg1': -0.0005053004715591669, 'bg2': 0.0005489857867360115}","{'thickness': 1.9076934378173056, 'norm': 0.9744863100597063, 'temp': 300.0, 'p1': -3.4214109873692315, 'cellulose': np.float64(0.03163297796927499), 'α': np.float64(0.9683670220307251), 'ext_l2': 0.0, 'ext_Gg2': 405.7693698052206, 'ext_L2': 60092.271399759426, 'α0': 3.2073051642002586, 'β0': 3.425240113674525, 'bg0': -0.0003308214945718646, 'bg1': -0.0005053004715591669, 'bg2': 0.0005489857867360115}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",7338.1202948355685,True
460,620,xs0,groups3,"{'thickness': 2.8584102099290787, 'norm': 1.963863345465893, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': -0.8894725474528968, 'bg1': 0.1857420523883775, 'bg2': 1.036596681107767}","{'thickness': 1.7555199675177229, 'norm': 0.7189280936695257, 'temp': 300.0, 'p1': -12.152114124509824, 'cellulose': np.float64(5.277176264457297e-06), 'α': np.float64(0.9999947228237355), 'ext_l2': 0.0, 'ext_Gg2': 1.944140404219752e-06, 'ext_L2': 16497.868408007267, 'α0': 2.4013675446871883, 'β0': 3.42813721508502, 'bg0': 0.2636995781213045, 'bg1': -0.08971684402786195, 'bg2': -0.19586295902263373}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",3178.734229995993,True
1220,280,xs0,groups3,"{'thickness': 4.998233080343504, 'norm': 7.041150795040363, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.20497404970228672, 'bg1': -0.0648677455028519, 'bg2': -0.07178963231854141}","{'thickness': 4.148267658279819, 'norm': 9.84302727396877, 'temp': 300.0, 'p1': -2.421561082103519, 'cellulose': np.float64(0.08154326344082587), 'α': np.float64(0.918456736559174), 'ext_l2': 0.0, 'ext_Gg2': 0.5191116379410499, 'ext_L2': 34.8379514607533, 'α0': 14.800351491096889, 'β0': 5.760462981711085, 'bg0': 0.20211893715895712, 'bg1': -0.06714016245678067, 'bg2': -0.07004520110785961}","{'thickness': 1.2231501080768985, 'norm': 18.430284687161553, 'temp': 0, 'p1': 0.6885466434526075, 'cellulose': 0.051567984493010983, 'α': 0.05156798316894974, 'ext_l2': 0, 'ext_Gg2': 0.0013595067426934021, 'ext_L2': 0.09550831128028864, 'α0': 17.114034942120572, 'β0': 0.007386818683680683, 'bg0': 0.48414141699389196, 'bg1': 0.14339268742129627, 'bg2': 0.39325501902023663}",16954.598458049863,True
50,550,xs0,groups3,"{'thickness': 2.8055048400246427, 'norm': 1.7514920270812546, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': -0.00016477913595736027, 'bg1': -0.00011306139640510082, 'bg2': -0.00021457963157445192}","{'thickness': 3.079671490169891, 'norm': 2.545133235429397, 'temp': 300.0, 'p1': -3.777819269307157, 'cellulose': np.float64(0.02236106212737605), 'α': np.float64(0.9776389378726239), 'ext_l2': 0.0, 'ext_Gg2': 813.1423717642866, 'ext_L2': 85200.91328876834, 'α0': 1.2561575295943184, 'β0': 3.173771609104131, 'bg0': -0.00016477913595736027, 'bg1': -0.00011306139640510082, 'bg2': -0.00021457963157445192}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",4151.989365217762,True
