xs,groups,filter_type,n_indexes,pulse_width,initial_params,final_params,uncertainties,redchi,success,error
xs0,groups3,poisson,"[2488, 4454, 4703]",60.0,"{'thickness': 0.17372707426634576, 'norm': 0.10000000014754873, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.0, 'bg1': 0.0, 'bg2': 0.0}","{'thickness': 0.17371234981520267, 'norm': 0.10008430751716269, 'temp': 300.0, 'p1': -3.566298254820202, 'cellulose': np.float64(0.027483579182515903), 'α': np.float64(0.972516420817484), 'ext_l2': 0.0, 'ext_Gg2': 1000.8255387101223, 'ext_L2': 100082.49747238884, 'α0': 3.658208378955358, 'β0': 3.063253761221461, 'bg0': 4.1746534407138824e-07, 'bg1': 1.8766149878501892e-07, 'bg2': 9.09087248146534e-07}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",42.399782896747816,True,
xs0,groups3,poisson,"[3246, 3835]",10.0,"{'thickness': 1.1446956473797196, 'norm': 0.22004737896427579, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': -0.00018413516227155924, 'bg1': -0.0005512863863259554, 'bg2': 0.0013009633403271437}","{'thickness': 0.8888610478477479, 'norm': 0.28561297812008357, 'temp': 300.0, 'p1': -0.9369741214631837, 'cellulose': np.float64(0.2815119609651572), 'α': np.float64(0.7184880390348429), 'ext_l2': 0.0, 'ext_Gg2': 313.4883378212283, 'ext_L2': 31347.89166448865, 'α0': 52.72265582609004, 'β0': 50.31564481446338, 'bg0': -0.00018413353245705366, 'bg1': -0.0005512814968824387, 'bg2': 0.0013009748654440045}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",7.385572824572537,True,
xs0,groups3,poisson,"[1300, 2714, 4008]",30.0,"{'thickness': 1.496497666006059, 'norm': 0.2044425948325822, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': -0.0004311666125431657, 'bg1': -0.0013651293702423573, 'bg2': 0.0028967243852093816}","{'thickness': 1.5126764576599048, 'norm': 0.43913239327375575, 'temp': 300.0, 'p1': -2.952334284055855, 'cellulose': np.float64(0.04962630266346264), 'α': np.float64(0.9503736973365373), 'ext_l2': 0.0, 'ext_Gg2': 12.111637626834316, 'ext_L2': 749.896576044462, 'α0': 4.177047172456202, 'β0': 89.53253008013013, 'bg0': -0.0004311666125431657, 'bg1': -0.0013651293702423573, 'bg2': 0.0028967239195480943}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",22.81768001556068,True,
xs0,groups3,poisson,"[2277, 4680]",100.0,"{'thickness': 0.257051423713803, 'norm': 0.15273263175579083, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': -0.0002159781288355589, 'bg1': 4.186586011201143e-05, 'bg2': -0.001374448649585247}","{'thickness': 1.3522481416469325, 'norm': 0.38160794825709066, 'temp': 300.0, 'p1': -12.37861053409549, 'cellulose': np.float64(4.207614315805375e-06), 'α': np.float64(0.9999957923856841), 'ext_l2': 0.0, 'ext_Gg2': 1804.319769198599, 'ext_L2': 259535.9047998444, 'α0': 177.9429095206875, 'β0': 2939.913967582222, 'bg0': -0.0002159781288355589, 'bg1': 4.186586011201143e-05, 'bg2': -0.001374448649585247}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",53.46561511245224,True,
xs0,groups3,poisson,"[889, 3535]",120.0,"{'thickness': 1.2381028081294083, 'norm': 0.1000000003179927, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.0, 'bg1': 0.0, 'bg2': 0.0}","{'thickness': 1.2379631815164573, 'norm': 0.16202357273422205, 'temp': 300.0, 'p1': -3.5673910045619923, 'cellulose': np.float64(0.027454386989901932), 'α': np.float64(0.9725456130100981), 'ext_l2': 0.0, 'ext_Gg2': 1001.3751317688624, 'ext_L2': 100137.415004328, 'α0': 3.685880171277957, 'β0': 3.0634372579453566, 'bg0': 3.3528776839375496e-06, 'bg1': 2.0600855350494385e-06, 'bg2': 5.34416176378727e-06}","{'thickness': 3.7432653311427098, 'norm': 0.9089660683611082, 'temp': 0, 'p1': 26.278078202136978, 'cellulose': 0.7016416020627914, 'α': 0.7016415651886865, 'ext_l2': 0, 'ext_Gg2': 28724894162.30796, 'ext_L2': 2879756206709.0107, 'α0': 17.04708304828071, 'β0': 16.913577294447027, 'bg0': 96878.94414458761, 'bg1': 0.0012966492683703424, 'bg2': 154415.23733251196}",108.50998659949836,True,
xs0,groups3,poisson,"[1777, 4500, 4628]",110.0,"{'thickness': 0.214938684895902, 'norm': 0.10000000034542014, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': -7.799826562404633e-09, 'bg1': -5.122274160385132e-09, 'bg2': -1.0477378964424133e-08}","{'thickness': 0.21496527460079767, 'norm': 0.10000053007310092, 'temp': 300.0, 'p1': -3.5637541026849586, 'cellulose': np.float64(0.02755166168007763), 'α': np.float64(0.9724483383199223), 'ext_l2': 0.0, 'ext_Gg2': 999.1765203437075, 'ext_L2': 99972.59265888353, 'α0': 3.665662042998706, 'β0': 3.065155274827175, 'bg0': -7.799826562404633e-09, 'bg1': -5.122274160385132e-09, 'bg2': -1.0477378964424133e-08}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",109.3403095748771,True,
xs0,groups3,poisson,"[2143, 2825, 4154]",70.0,"{'thickness': 2.014820694170613, 'norm': 0.5391668025256178, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 4.522386007010937e-06, 'bg1': 2.669636160135269e-06, 'bg2': 1.3900455087423325e-05}","{'thickness': 1.7938643752711116, 'norm': 0.7065548563637924, 'temp': 300.0, 'p1': -2.0787808207792384, 'cellulose': np.float64(0.11117638426572309), 'α': np.float64(0.8888236157342768), 'ext_l2': 0.0, 'ext_Gg2': 9.220419319878047, 'ext_L2': 1.0679403461555381, 'α0': 1.4538822224102346, 'β0': 2.0397290127727965, 'bg0': 4.522386007010937e-06, 'bg1': 2.669636160135269e-06, 'bg2': 0.020314042456448078}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",56.116627299071425,True,
xs0,groups3,poisson,"[1294, 2584, 2781, 3599]",170.0,"{'thickness': 1.7249975572250054, 'norm': 0.3449713840831597, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': -0.0006323488196358085, 'bg1': -0.0009358511306345463, 'bg2': 0.0011269381502643228}","{'thickness': 1.9736757374749123, 'norm': 0.6023869696925257, 'temp': 300.0, 'p1': -3.7521430562524465, 'cellulose': np.float64(0.022929308711443136), 'α': np.float64(0.977070691288557), 'ext_l2': 0.0, 'ext_Gg2': 1.4990446559315362, 'ext_L2': 231.07230882118967, 'α0': 64.78070391973999, 'β0': 65.62297719040116, 'bg0': -0.0006323488196358085, 'bg1': -0.0009358511306345463, 'bg2': 0.001126923831179738}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",225.8861325702073,True,
xs0,groups3,poisson,"[464, 1673, 1874, 4182, 4980]",40.0,"{'thickness': 0.15936283545261443, 'norm': 0.10000000003300386, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.0, 'bg1': 0.0, 'bg2': 0.0}","{'thickness': 0.1593630694760792, 'norm': 0.1000000003906737, 'temp': 300.0, 'p1': -3.5656601138973745, 'cellulose': np.float64(0.02750064070520402), 'α': np.float64(0.972499359294796), 'ext_l2': 0.0, 'ext_Gg2': 999.9942528891886, 'ext_L2': 99998.98877691971, 'α0': 3.6699129090196845, 'β0': 3.0600738849768288, 'bg0': -2.0954757928848267e-09, 'bg1': -1.1641532182693481e-09, 'bg2': -3.4924596548080444e-09}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",106.65035801986338,True,
xs0,groups3,poisson,"[2346, 2710, 3178, 4258]",180.0,"{'thickness': 1.1552232210448343, 'norm': 0.10000001083116662, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 1.7462298274040222e-09, 'bg1': 4.656612873077393e-10, 'bg2': 4.6566128730773926e-09}","{'thickness': 1.1526052922036443, 'norm': 0.10683445315864143, 'temp': 300.0, 'p1': -3.596296057212431, 'cellulose': np.float64(0.02669305548067455), 'α': np.float64(0.9733069445193255), 'ext_l2': 0.0, 'ext_Gg2': 1005.5779244075475, 'ext_L2': 102939.96651963843, 'α0': 3.5644269828593846, 'β0': 3.0654920416290277, 'bg0': 1.7462298274040222e-09, 'bg1': 6.908201612532139e-06, 'bg2': 4.6566128730773926e-09}","{'thickness': 6.593609440161659, 'norm': 1.030537085747254, 'temp': 0, 'p1': 45.91479144393519, 'cellulose': 1.192890904446397, 'α': 1.1928909089053055, 'ext_l2': 0, 'ext_Gg2': 15741.13155243146, 'ext_L2': 2090049218.5921926, 'α0': 41.70256704605612, 'β0': 31.05520140962809, 'bg0': 568.6420113111332, 'bg1': 1250239.6363112999, 'bg2': 687.0908674660982}",431.72893193515614,True,
