xs,groups,filter_type,error,n_indexes,pulse_width,initial_params,final_params,uncertainties,redchi,success
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
xs0,groups3,simple,No successful fitting stages completed,,,,,,,
