xs,groups,filter_type,n_indexes,pulse_width,initial_params,final_params,uncertainties,redchi,success
xs0,groups3,single,[90],220,"{'thickness': 3.449952617661852, 'norm': 2.4504961145735984, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': -2.491324524395168, 'bg1': 0.653586684493348, 'bg2': 2.415843944181688}","{'thickness': 3.858115181921285, 'norm': 7.347777981832805, 'temp': 300.0, 'p1': -2.4657853436583697, 'cellulose': np.float64(0.07829183404672002), 'α': np.float64(0.9217081659532799), 'ext_l2': 0.0, 'ext_Gg2': 2691.176202272395, 'ext_L2': 57248.78157488844, 'α0': 25.433847230133, 'β0': 2.2454143520690204, 'bg0': 0.16258256428409368, 'bg1': -0.08597666083369404, 'bg2': 0.022489021066576242}","{'thickness': 1.386228496078844, 'norm': 13.154790373357965, 'temp': 0, 'p1': 0.6207050850338345, 'cellulose': 0.04479145847553064, 'α': 0.04479145742055439, 'ext_l2': 0, 'ext_Gg2': 204393.07458504374, 'ext_L2': 3250279.793586308, 'α0': 147.08716589161926, 'β0': 0.11821585978692972, 'bg0': 0.5262651839605452, 'bg1': 0.1403038842989829, 'bg2': 0.4523887643468009}",712.7146424479031,True
xs0,groups3,single,[50],600,"{'thickness': 3.309582354491709, 'norm': 2.464419325741729, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': -0.0008132049115374684, 'bg1': -0.0009396643145009875, 'bg2': 0.00044627964962273836}","{'thickness': 2.882930324725359, 'norm': 3.9895318640153383, 'temp': 300.0, 'p1': -2.664368819376474, 'cellulose': np.float64(0.06510889877779356), 'α': np.float64(0.9348911012222064), 'ext_l2': 0.0, 'ext_Gg2': 0.6102209152397675, 'ext_L2': 34.39473409977411, 'α0': 1.0499839202570056, 'β0': 1.1481480386078036, 'bg0': -0.0008132049115374684, 'bg1': -0.0009396643145009875, 'bg2': 0.00044627964962273836}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",1525.0692700110408,True
xs0,groups3,single,[80],400,"{'thickness': 2.6229837014107455, 'norm': 1.2788382273475258, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': -5.976989225950092, 'bg1': 1.5552068386459723, 'bg2': 5.75179064727854}","{'thickness': 2.187116328323173, 'norm': 0.7214870593334366, 'temp': 300.0, 'p1': -10.053970955084662, 'cellulose': np.float64(4.301275025092358e-05), 'α': np.float64(0.9999569872497491), 'ext_l2': 0.0, 'ext_Gg2': 5805.084989647929, 'ext_L2': 14225.909236677215, 'α0': 22.685120444148435, 'β0': 4.683384602700259, 'bg0': 0.7749788155779243, 'bg1': -0.2739411424845457, 'bg2': -0.4885024265386164}","{'thickness': 0.6365266852115302, 'norm': 0.6082698677159855, 'temp': 0, 'p1': 1550.9094905181503, 'cellulose': 0.06670601310103076, 'α': 0.06670622256474898, 'ext_l2': 0, 'ext_Gg2': 15993.80730805125, 'ext_L2': 40578.31769550015, 'α0': 90.1007725150222, 'β0': 2.3219767734627865, 'bg0': 0.4047127420497375, 'bg1': 0.12565120974185692, 'bg2': 0.3232913212699195}",1222.4971678152285,True
xs0,groups3,single,[20],360,"{'thickness': 1.4865093202758206, 'norm': 0.10000000164175674, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': -5.820766091346741e-10, 'bg1': -3.4924596548080444e-10, 'bg2': -6.984919309616089e-10}","{'thickness': 1.480890301446337, 'norm': 0.11832240986508866, 'temp': 300.0, 'p1': -3.5855477330860666, 'cellulose': np.float64(0.026973727855744027), 'α': np.float64(0.9730262721442561), 'ext_l2': 0.0, 'ext_Gg2': 1005.392254243731, 'ext_L2': 101165.72826367637, 'α0': 3.524977162969509, 'β0': 3.267162813023363, 'bg0': 2.1836021915078163e-06, 'bg1': 1.2039672583341599e-06, 'bg2': 3.829598426818848e-06}","{'thickness': 5.296424742464983, 'norm': 0.938303070061216, 'temp': 0, 'p1': 29.747149679129674, 'cellulose': 0.780748030196583, 'α': 0.7807479635544201, 'ext_l2': 0, 'ext_Gg2': 88481479402.5877, 'ext_L2': 8893403565652.777, 'α0': 29.908631678966824, 'β0': 25.208827437467708, 'bg0': 131835.19067120305, 'bg1': 51851.27421994673, 'bg2': 72808.1921931307}",3048.977860645924,True
xs0,groups3,single,[90],10,"{'thickness': 2.878615099228401, 'norm': 1.9646642831207963, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 1.366721963393502, 'bg1': -0.40964769071433693, 'bg2': -1.0936871005687863}","{'thickness': 2.919178209824702, 'norm': 1.4772097844357557, 'temp': 300.0, 'p1': -4.431223602083559, 'cellulose': np.float64(0.011759977206080768), 'α': np.float64(0.9882400227939192), 'ext_l2': 0.0, 'ext_Gg2': 1096.6845562425958, 'ext_L2': 111587.30452557575, 'α0': 9.025027201007042, 'β0': 4.444637236920761, 'bg0': 1.2270802820567042, 'bg1': -0.38685201993212104, 'bg2': -0.9061886065173894}","{'thickness': 0.18157595560358586, 'norm': 0.36056590436306574, 'temp': 0, 'p1': 1.053881149939943, 'cellulose': 0.012247869640546784, 'α': 0.0122478680346926, 'ext_l2': 0, 'ext_Gg2': 837485092.9495431, 'ext_L2': 84942110135.58763, 'α0': 2.4855399325103456, 'β0': 0.5476302364540508, 'bg0': 0.006970415339245861, 'bg1': 8.86194681280058e-07, 'bg2': 0.011360542451962958}",1.737699204584262,True
xs0,groups3,single,[70],420,"{'thickness': 2.7865529426390347, 'norm': 1.75965660632735, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 0.7918865768006071, 'bg1': -0.29428834619466215, 'bg2': -0.43348666257224977}","{'thickness': 2.6029034957377712, 'norm': 1.355505450772754, 'temp': 300.0, 'p1': -5.094771076777004, 'cellulose': np.float64(0.006091377197035727), 'α': np.float64(0.9939086228029642), 'ext_l2': 0.0, 'ext_Gg2': 1503.6805044845776, 'ext_L2': 60636.32188647011, 'α0': 2.302153305103738, 'β0': 2.4754235279097414, 'bg0': 0.6970190294086933, 'bg1': -0.21909005823545158, 'bg2': -0.529765396961011}","{'thickness': 0.7683603960178375, 'norm': 1.2415944593658983, 'temp': 0, 'p1': 8.928805135713592, 'cellulose': 0.05405741796221587, 'α': 0.05405741163750746, 'ext_l2': 0, 'ext_Gg2': 147100360.8623745, 'ext_L2': 5936522382.211301, 'α0': 1.2288097108150542, 'β0': 1.0255970240214813, 'bg0': 0.500716602804145, 'bg1': 0.15662841269827232, 'bg2': 0.3887268166026195}",1604.9419923153273,True
xs0,groups3,single,[80],900,"{'thickness': 3.4313213535736886, 'norm': 2.4434044613812342, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 3.56515228562057, 'bg1': -1.0847188999177888, 'bg2': -2.830441081430763}","{'thickness': 4.01473805055363, 'norm': 4.081944434910585, 'temp': 300.0, 'p1': -3.2315417249613674, 'cellulose': np.float64(0.03799585352319691), 'α': np.float64(0.962004146476803), 'ext_l2': 0.0, 'ext_Gg2': 1175.7983185933408, 'ext_L2': 117486.16664030914, 'α0': 11.658297997731227, 'β0': 4.938693101864759, 'bg0': 3.5022698062239215, 'bg1': -1.0792042448883876, 'bg2': -2.729002289357595}","{'thickness': 1.2489709824550708, 'norm': 6.570073289174875, 'temp': 0, 'p1': 1.2885728397583405, 'cellulose': 0.04710013169372893, 'α': 0.047100131786569834, 'ext_l2': 0, 'ext_Gg2': 5495982692.307238, 'ext_L2': 548194807608.6555, 'α0': 20.3860578845693, 'β0': 2.1831103625515658, 'bg0': 0.08156841026466462, 'bg1': 0.02686491250849573, 'bg2': 0.0672140638080479}",2313.0173247669973,True
xs0,groups3,single,[60],570,"{'thickness': 4.912770071598764, 'norm': 7.0279294593926105, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': 1.558163026580587, 'bg1': -0.5624951351201162, 'bg2': -0.8762774126371369}","{'thickness': 1.628189402891048, 'norm': 1.9346457305953988, 'temp': 300.0, 'p1': 0.40387132670377923, 'cellulose': np.float64(0.5996174315708842), 'α': np.float64(0.40038256842911585), 'ext_l2': 0.0, 'ext_Gg2': 2802.443421344225, 'ext_L2': 215.76284459645655, 'α0': 6.352184635470894, 'β0': 5.7796848340782745, 'bg0': 2.5491468287073076, 'bg1': -0.7783110021846369, 'bg2': -1.9929964035982266}","{'thickness': 1.0810827766881241, 'norm': 3.966960694185784, 'temp': 0, 'p1': 1.1331478277181992, 'cellulose': 0.2720420001161945, 'α': 0.27204202102040004, 'ext_l2': 0, 'ext_Gg2': 498688860.76970315, 'ext_L2': 544438922.061818, 'α0': 39.8123533984459, 'β0': 32.36956990930141, 'bg0': 0.04302256680451309, 'bg1': 0.03070046365447938, 'bg2': 0.05355810018389553}",2340.3312673270584,True
xs0,groups3,single,[40],840,"{'thickness': 3.060528514344299, 'norm': 1.8981273227013302, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': -0.0004156425129622221, 'bg1': -0.0003737055230885744, 'bg2': -0.00017648458015173674}","{'thickness': 3.6422220913000594, 'norm': 6.973115521062047, 'temp': 300.0, 'p1': -4.066004025031818, 'cellulose': np.float64(0.016856744063850137), 'α': np.float64(0.9831432559361497), 'ext_l2': 0.0, 'ext_Gg2': 57.51558167515547, 'ext_L2': 130.1292517845165, 'α0': 0.3898428653827045, 'β0': 0.6323844503668551, 'bg0': -0.0004156425129622221, 'bg1': -0.0003737055230885744, 'bg2': -0.00017648458015173674}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",1947.5686928337886,True
xs0,groups3,single,[60],630,"{'thickness': 2.790113168451181, 'norm': 1.6897198826620632, 'temp': 300.0, 'p1': -3.5656840708200757, 'cellulose': np.float64(0.027500000000000004), 'α': np.float64(0.9725), 'ext_l2': 0.0, 'ext_Gg2': 1000.0, 'ext_L2': 100000.0, 'α0': 3.67, 'β0': 3.06, 'bg0': -0.0004018372856080532, 'bg1': -0.00037386466283351183, 'bg2': -0.00015783216804265976}","{'thickness': 3.504544990023144, 'norm': 8.986310551667604, 'temp': 300.0, 'p1': -2.6361581959628264, 'cellulose': np.float64(0.06684728398649162), 'α': np.float64(0.9331527160135085), 'ext_l2': 0.0, 'ext_Gg2': 462.9790727745259, 'ext_L2': 46254.027930180906, 'α0': 0.565018793143493, 'β0': 0.6317092655874524, 'bg0': -0.0004018372856080532, 'bg1': -0.00037386466283351183, 'bg2': -0.00015783216804265976}","{'thickness': None, 'norm': None, 'temp': None, 'p1': None, 'cellulose': None, 'α': None, 'ext_l2': None, 'ext_Gg2': None, 'ext_L2': None, 'α0': None, 'β0': None, 'bg0': None, 'bg1': None, 'bg2': None}",1513.0902912931172,True
