 ,stack,counts,err
1,1,3985845.000,1996.458
2,2,1206838.000,1098.562
3,3,1054480.000,1026.879
4,4,865711.000,930.436
5,5,844937.000,919.205
6,6,784552.000,885.749
7,7,760043.000,871.804
8,8,732912.000,856.103
9,9,715586.000,845.923
10,10,716499.000,846.463
11,11,714890.000,845.512
12,12,708313.000,841.613
13,13,698104.000,835.526
14,14,692075.000,831.910
15,15,683780.000,826.910
16,16,681232.000,825.368
17,17,674319.000,821.169
18,18,672687.000,820.175
19,19,669529.000,818.248
20,20,665418.000,815.732
21,21,661201.000,813.143
22,22,662165.000,813.735
23,23,659693.000,812.215
24,24,659908.000,812.347
25,25,652860.000,807.998
26,26,655146.000,809.411
27,27,650657.000,806.633
28,28,650324.000,806.427
29,29,640413.000,800.258
30,30,646036.000,803.764
31,31,647032.000,804.383
32,32,645746.000,803.583
33,33,646235.000,803.887
34,34,644808.000,802.999
35,35,643572.000,802.229
36,36,642614.000,801.632
37,37,638399.000,798.999
38,38,639821.000,799.888
39,39,638532.000,799.082
40,40,637733.000,798.582
41,41,633979.000,796.228
42,42,634192.000,796.362
43,43,635297.000,797.055
44,44,634813.000,796.752
45,45,635334.000,797.078
46,46,639967.000,799.979
47,47,635454.000,797.154
48,48,633366.000,795.843
49,49,635125.000,796.947
50,50,635805.000,797.374
51,51,634931.000,796.826
52,52,635771.000,797.352
53,53,636889.000,798.053
54,54,637456.000,798.408
55,55,636028.000,797.514
56,56,634073.000,796.287
57,57,633708.000,796.058
58,58,637183.000,798.237
59,59,637455.000,798.408
60,60,636790.000,797.991
61,61,635366.000,797.098
62,62,639710.000,799.819
63,63,637902.000,798.688
64,64,637515.000,798.445
65,65,636709.000,797.940
66,66,639756.000,799.847
67,67,641636.000,801.022
68,68,643411.000,802.129
69,69,643684.000,802.299
70,70,644376.000,802.730
71,71,643838.000,802.395
72,72,642814.000,801.757
73,73,645667.000,803.534
74,74,645072.000,803.164
75,75,646264.000,803.905
76,76,645733.000,803.575
77,77,644939.000,803.081
78,78,643998.000,802.495
79,79,644633.000,802.890
80,80,645315.000,803.315
81,81,646928.000,804.318
82,82,649825.000,806.117
83,83,650695.000,806.657
84,84,650534.000,806.557
85,85,652933.000,808.043
86,86,653354.000,808.303
87,87,656481.000,810.235
88,88,656481.000,810.235
89,89,659581.000,812.146
90,90,659199.000,811.911
91,91,661062.000,813.057
92,92,663103.000,814.311
93,93,665662.000,815.881
94,94,670230.000,818.676
95,95,672712.000,820.190
96,96,673748.000,820.822
97,97,678708.000,823.837
98,98,679734.000,824.460
99,99,680365.000,824.842
100,100,679820.000,824.512
101,101,682078.000,825.880
102,102,685418.000,827.900
103,103,683195.000,826.556
104,104,680633.000,825.005
105,105,678452.000,823.682
106,106,679171.000,824.118
107,107,680225.000,824.758
108,108,678785.000,823.884
109,109,676946.000,822.767
110,110,678112.000,823.476
111,111,678099.000,823.468
112,112,673960.000,820.951
113,113,673864.000,820.892
114,114,675777.000,822.057
115,115,674163.000,821.074
116,116,676073.000,822.237
117,117,676068.000,822.234
118,118,672922.000,820.318
119,119,672703.000,820.185
120,120,673177.000,820.474
121,121,674201.000,821.097
122,122,675024.000,821.598
123,123,674550.000,821.310
124,124,673236.000,820.510
125,125,674188.000,821.090
126,126,676283.000,822.364
127,127,678828.000,823.910
128,128,678831.000,823.912
129,129,679565.000,824.357
130,130,681123.000,825.302
131,131,680637.000,825.007
132,132,681225.000,825.364
133,133,685855.000,828.164
134,134,682302.000,826.016
135,135,687027.000,828.871
136,136,690840.000,831.168
137,137,693529.000,832.784
138,138,697305.000,835.048
139,139,697183.000,834.975
140,140,704953.000,839.615
141,141,705014.000,839.651
142,142,708065.000,841.466
143,143,712117.000,843.870
144,144,717576.000,847.099
145,145,720497.000,848.821
146,146,725482.000,851.752
147,147,730083.000,854.449
148,148,736451.000,858.167
149,149,742236.000,861.531
150,150,747750.000,864.725
151,151,752892.000,867.693
152,152,757620.000,870.414
153,153,763578.000,873.830
154,154,773026.000,879.219
155,155,778790.000,882.491
156,156,782905.000,884.819
157,157,788303.000,887.864
158,158,796526.000,892.483
159,159,806397.000,897.996
160,160,812900.000,901.610
161,161,820300.000,905.704
162,162,830280.000,911.197
163,163,841264.000,917.204
164,164,848667.000,921.231
165,165,858233.000,926.409
166,166,869365.000,932.397
167,167,877147.000,936.561
168,168,888337.000,942.516
169,169,900229.000,948.804
170,170,914597.000,956.346
171,171,924177.000,961.341
172,172,930768.000,964.763
173,173,945142.000,972.184
174,174,954336.000,976.901
175,175,964931.000,982.309
176,176,978526.000,989.205
177,177,989783.000,994.878
178,178,998679.000,999.339
179,179,1012473.000,1006.217
180,180,1026791.000,1013.307
181,181,1041860.000,1020.715
182,182,1051006.000,1025.186
183,183,1062876.000,1030.959
184,184,1074958.000,1036.802
185,185,1088674.000,1043.395
186,186,1104959.000,1051.170
187,187,1119269.000,1057.955
188,188,1136120.000,1065.889
189,189,1146657.000,1070.821
190,190,1164936.000,1079.322
191,191,1177652.000,1085.197
192,192,1188938.000,1090.384
193,193,1205933.000,1098.150
194,194,1218967.000,1104.068
195,195,1233033.000,1110.420
196,196,1248923.000,1117.552
197,197,1265838.000,1125.095
198,198,1277303.000,1130.178
199,199,1288287.000,1135.027
200,200,1306433.000,1142.993
201,201,1319614.000,1148.745
202,202,1330526.000,1153.484
203,203,1345335.000,1159.886
204,204,1361783.000,1166.955
205,205,1374325.000,1172.316
206,206,1384245.000,1176.539
207,207,1397994.000,1182.368
208,208,1417408.000,1190.549
209,209,1423987.000,1193.309
210,210,1437615.000,1199.006
211,211,1451458.000,1204.765
212,212,1465583.000,1210.613
213,213,1474602.000,1214.332
214,214,1491310.000,1221.192
215,215,1501948.000,1225.540
216,216,1513218.000,1230.129
217,217,1523183.000,1234.173
218,218,1538029.000,1240.173
219,219,1553287.000,1246.309
220,220,1560957.000,1249.383
221,221,1570785.000,1253.310
222,222,1588684.000,1260.430
223,223,1592890.000,1262.097
224,224,1608362.000,1268.212
225,225,1619535.000,1272.610
226,226,1629822.000,1276.645
227,227,1642876.000,1281.747
228,228,1650871.000,1284.862
229,229,1659447.000,1288.195
230,230,1665968.000,1290.724
231,231,1674711.000,1294.106
232,232,1686471.000,1298.642
233,233,1692218.000,1300.853
234,234,1699135.000,1303.509
235,235,1706414.000,1306.298
236,236,1714881.000,1309.535
237,237,1717499.000,1310.534
238,238,1727081.000,1314.185
239,239,1733447.000,1316.604
240,240,1737827.000,1318.267
241,241,1743127.000,1320.275
242,242,1748882.000,1322.453
243,243,1755088.000,1324.797
244,244,1757898.000,1325.857
245,245,1761057.000,1327.048
246,246,1765615.000,1328.764
247,247,1771462.000,1330.963
248,248,1780619.000,1334.398
249,249,1780469.000,1334.342
250,250,1783187.000,1335.360
251,251,1781896.000,1334.877
252,252,1782964.000,1335.277
253,253,1786639.000,1336.652
254,254,1788325.000,1337.283
255,255,1795102.000,1339.814
256,256,1795398.000,1339.925
257,257,1789671.000,1337.786
258,258,1794397.000,1339.551
259,259,1794028.000,1339.413
260,260,1799111.000,1341.309
261,261,1793886.000,1339.360
262,262,1799221.000,1341.350
263,263,1794078.000,1339.432
264,264,1789051.000,1337.554
265,265,1791571.000,1338.496
266,266,1788819.000,1337.467
267,267,1779823.000,1334.100
268,268,1778678.000,1333.671
269,269,1776313.000,1332.784
270,270,1770953.000,1330.772
271,271,1767961.000,1329.647
272,272,1765451.000,1328.703
273,273,1756913.000,1325.486
274,274,1754648.000,1324.631
275,275,1755781.000,1325.059
276,276,1752743.000,1323.912
277,277,1750880.000,1323.208
278,278,1750683.000,1323.134
279,279,1749039.000,1322.512
280,280,1742784.000,1320.145
281,281,1734731.000,1317.092
282,282,1733861.000,1316.762
283,283,1730692.000,1315.558
284,284,1727513.000,1314.349
285,285,1721429.000,1312.032
286,286,1719028.000,1311.117
287,287,1713299.000,1308.930
288,288,1705376.000,1305.900
289,289,1697975.000,1303.064
290,290,1699949.000,1303.821
291,291,1693109.000,1301.195
292,292,1690292.000,1300.112
293,293,1682683.000,1297.183
294,294,1673416.000,1293.606
295,295,1675029.000,1294.229
296,296,1666002.000,1290.737
297,297,1658233.000,1287.724
298,298,1658180.000,1287.703
299,299,1651830.000,1285.235
300,300,1640760.000,1280.922
301,301,1636349.000,1279.199
